lampung,indo
nyo kah dijjo wat sidapek balah lappung?,apakah di sini ada yang bisa berbahasa bahasa lampung ?
nyo kah dijjo wat sidapek balah indonesia?,apakah di sini ada yang bisa berbahasa indonesia ?
nyo kah dijjo wat kamus bahso lappung-indonesia?,apakah di sini ada kamus bahasa lampung-indonesia ?
ino sangat susah atau bangik,itu sangat sulit atau itu mudah
ikam ngebbo jamo ago belajagh bahaso lappung,saya membawa teman untuk belajar bahasa lampung
"ijo serundo ikam, pak hasan serundo wawai ikam","ini teman saya , pak hasan teman baik saya"
dikeddo kamar mandei no?,dimana kamar kecilnya ?
ikam ago dak kamar mandei,saya mau ke kamar kecil
ikam ago kilui tulung,saya mau minta tolong
masjid no paghek jamo nuwo,masjidnya dekat dengan rumah
masjid ne jaweh anajak jo,masjidnya jauh dari sini
apo sai ceramah ijo?,siapa yang ceramah hari ini ?
apo sai jadei imam dawah ijo?,siapa yang jadi imam hari ini ?
siago ceramah lak megegh,penceramahnya belum datang
penceramah no kak wat di depan mimbar,penceramahnya sudah ada di depan mimbar
beliau megegh anak pesantren,beliau datang dari pesantren
ceramah no wawai,ceramahnya bagus
ceramah no ngebusennei,ceramahnya membosankan
ceramah no terlaleu tijjang,ceramahnya terlalu lama
dikeddo beng bedas ne?,dimana tempat wudlunya ?
dapek degh ikam nginjam selup?,boleh saya pinjam sendalnya ?
dikeddo mushola ne?,dimana musholanya ?
dikeddo beng ngepik mukena sinjang ne?,dimana tempat menyimpan mukena sarungnya ?
dapek nginjam sejadahne?,boleh pinjam sajadahnya ?
ikam kak ngakuk wai das dinuwo,saya sudah wudlu di rumah
ikam lak ngakuk das,saya belum wudlu
jam pigho adzan luhur tano?,jam berapa adzan dzuhur sekarang ?
jam pigho adzan maghribno?,jam berapa adzan magribnya ?
jam pigho adzan subuhne?,jam berapa adzan subuhnya ?
silahkan sekam sijadei imam sembahyangne,silahkan bapak yang memimpin sholatnya
silahkan bapak duluan,silahkan bapak duluan
jamaah harap ngisei saf sai pagun bakkang,jamaah harap mengisi saf yang masih kosong
jamaah harep nebengke safne,jamaah harap meluruskan safnya
saf sai pagun bakkang harap diisei tagen sah sembahyangne,saf yang masih kosong harap diisi supaya sah sholatnya
lapah gham sembahyang berjamaah,mari kita shalat berjamaah
dang ribut wat silagei ngebaco al-quran,jangan ribut ada yang sedang baca al-quran
muhun dang ngubrul selagei khatib berceramah,mohon tidak berbicara ketika khatib berceramah
guai anak anak muhun dang ribut,untuk anak-anak mohon tidak ribut
jm pigho pengajianne?,jam berapa pengajiannya ?
pengajianne dimulai seghadeu sembahyang dzhuhur,pengajiannya dimulai setelah sholat dzuhur
pengajiannya dimulai ba'da isya,pengajiannya dimulai ba’da isya
bingei ijo mak jamo bapak dicuak tahlilan,malam ini ibu dan bapak diundang tahlilan
bingei ijo mak jamo bapak dicuak walimahan,malam ini ibu dan bapak diundang walimahan
bingei ijo mak jamo bapak dicuak pengajian,malam ini ibu dan bapak diundang pengajian
dang luppo baco al'quran surah annas,jangan lupa baca al-quran surah annas
cobo dinnah lem al'quran surah annas,coba dilihat di dalam al-quran surah annas
keterangan ino wat di al'quran surah annas,keterangan itu ada di al-quran surah annas
jam pigho buka puaso tano?,jam berapa buka puasa sekarang ?
lebaranne bulan depan,lebarannya bulan depan
lebaranne minggeu  depan,lebarannya minggu depan
ibu dan bapak sai ago nitipken zakat ditunggeu dimasjid,ibu dan bapak yang mau menitipkan zakat ditunggu di masjid
"zakat, infaq jamo sedekahno dapek dititipke di dkm","zakat , infaq dan sodaqahnya boleh dititipkan di dkm"
sembahyang ied no dimulai jam pigho?,sholat ied nya dimulai pukul berapa ?
sembahyang ied no dimulai jam 7,sholat iednya dimulai pukul tujuh
ikam sembahyang ied dimasjid paghek jamo nuwo,kami sholat ied di masjid dekat dengan rumah
ikam sembahyang ied dimasjid agung,kami sholat ied di masjid agung
ikam sembahyang ied dilapangan,saya sholat ied di lapangan
mahhaf lahir batin ya,maaf lahir batin ya
mahhap lamun ikam wat salah,maaf kalau saya punya salah
mahaf lamun ikam khilaf,maaf kalau saya hilaf
mahafke salah salah ikam,maafkan kesalahan saya
lapah gham saliman pai,ayo salaman dulu
salim jamo sitei,salam sama kakek
salim jamo sidei,salam sama nenek
mahaf ya pak lamun ikam wat salah,maaf ya pak kalau saya punya salah
mahaf ya buk lamun ikam wat salah,maaf ya bu kalau saya punya salah
"ya jamo jamo, mahaf lahir bati munih ya","ya sama-sama , maaf lahir batin juga"
ikam jimeh mudik ino balik dak anek,saya besok mudik itu pulang kampung
ikam minggu depan mulang dak anek,saya minggu depan mudik
ikam mulang dak anek cakak kerito,saya mudik pakai kereta
ikam mulang dak anek cakak bis,saya mudik pakai bis
ghanglayo ne macit lamun lagei mulang dak anek gehijo,jalannya macet kalau lagi mudik begini
ukus mulang dak anek kak cakak,ongkos mudiknya naik
ikam mak balik dak anek tahhun ijo,saya tidak mudik tahun ini
ikam mak balik dak anek ikam dinuwo gaweh,saya tidak mudik saya di rumah saja
ikam mak makko anek beng balik,saya tidak punya kampung halaman
binatang qurbanne dapek dititip di dkm,hewan qurbannya boleh dititip di dkm
guai ibu jamo bapak si ago berqurban dapek ngehubungei ikam,bagi ibu dan bapak yang mau berqurban boleh menghubungi dkm
igo spei ne cakak tahun ijo,harga sapinya naik tahun ini
igo dombane cakak tahun ijo,harga dombanya naik tahun ini
lamun ago nutuk berqurban pagun wat ighah kupek,kalau mau ikut qurban masih ada sisa beberapa lagi
ikam ago nitipken binatang qurban dimasjid ijo,saya mau menitipkan hewan qurban di masjid ini
payew pak ikam terimo titipanne,baik pak kami terima titipannya
ikam ago nitipke zakat dijjo,saya mau menitipkan zakat di sini
payew pak ikam terimo zakat sai bapak titipke,baik pak kami terima zakat yang bapak titipkan
dikeddo kattur informasine?,dimana kantor informasinya ?
dikeddo museumne?,dimana museumnya ?
dikeddo kebun binatangne?,dimana kebun binatangnya
ikam kilui sai tiket,saya minta satu tiket
ikam kilui 4 tiket,saya minta empat tiket
jam pigho bukak ne?,jam berapa bukanya ?
jam pigho tutupne?,jam berapa tutupnya ?
nyo kah Cuma buka diharei biasa?,apakah buka di hari biasa ?
nyokah Cuma bukak diharei libur?,apakah hanya buka di hari libur ?
pigho igo tiket diharei biaso?,berapa harga tiket untuk hari biasa ?
pigho igo tiket pakai dihrei libur?,berapa harga tiket untuk hari libur ?
dikeddo kantinne?,dimana kantinnya ?
dikeddo kamar mandeine?,dimana toiletnya ?
dikeddo ghang jual bakei?,dimana tempat menjual oleh-olehnya ?
dikeddo ikam dapek belei bak'ei?,dimana saya bisa membeli oleh-oleh ?
nyokah dapek ngebbo kanen daklem?,apakah boleh membawa makanan ke dalam ?
nyokah dapek ngebbo minuman daklem?,apakah boleh membawa minuman ke dalam ?
dikeddo musholane?,dimana musholanya ?
kapan wakteu gedung ino dibangun?,kapan gedung ini dibangun ?
lapah gham mider mider,ayo kita pergi jalan-jalan
lpah gham ngenah dak salahnei,ayo kita lihat-lihat sebelah sana
lapah geluk,ayo cepat
lapah geluk naen mak kebureu,ayo cepat nanti keburu tutup
lapah geluk naen kak latap,ayo cepat nanti keburu penuh
lamun ago masso tiket gham harus antrei,kalau mau dapat tiket kita harus antri
lamun ago kughuk gham harus belei pai tiketne,kalau mau masuk kita harus beli dulu tiketnya
jam pigho acarano dimulai?,jam berapa pertunjukkannya dimulai
balik naen gham belei bak'ei,pulangnya kita beli oleh-oleh
naen gham singgah belei buah tangan,nanti kita mampir membeli cenderamata
naen ghadeu ijo gham lapah dak kebun binatang,nanti habis ini kita berkunjung ke kebun binatang
seghadeu ijo gham lapah dak beng baghih,setelah ini kita pergi ke tempat lain
dang luppo barang bo'anno,jangan lupa barang bawaannya
dikeddo ghang nukegh keduit,dimana tempat menukarkan uang
dikeddo ghang belei kanen,dimana tempat membeli makanan
dikeddo ghang belei minum,dimana tempat membeli minuman
acarane ijo wawai,acaranya menarik
acarane tanggem,acaranya bagus
beng ne tanggem,tempatnya bagus
bengne kamah,tempatnya kotor
bengne beghak,tempatnya luas
atei atei jamo barang bo'anne,hati hati dengan barang bawaannya
atei atei barang bo'anne tippik,hati hati barang bawaannya ketinggalan
atei atei tippik,hati hati ketinggalan
gham harus parkir salahnei,kita harus parkir disebelah sana
beng parkir ne wat disalah nei,tempat parkirnya ada di sebelah sana
gham harus lapah caluk anjakjo,kita harus jalan kaki dari sini
gham dapek cakak bis lapah dak nei,kita bisa naik bis untuk menuju ke sana
dinnei gham dapek cakak kudo,disana kita bisa naik kuda
dinnei gham dapek cakak taxi,disana kita bisa pakai taxi
ukus nelumayan murah,biaya wisatanya cukup murah
ukkus wisata ne mahhal,biaya wisatanya mahal
beng ne wayah jaweh anajkjo,tempatnya agak jauh dari sini
bengne paghek,tempatnya dekat
beng newayah jaweh anjak jo,tempatnya cukup jauh dari sini
beng ne paghek gunung,lokasinya dekat gunung
beng ne paghek pantai,lokasinya dekat pantai
gham jimmeh ago dak pantai,kita besok mau ke pantai
gham jimmeh ago kemping,kita besok mau kemping
jimeh dang mak ingek ngebbo sangeu,besok jangan lupa bawa bekal yang banyak yah
dang mak ingek ajak serundo sai baghih,jangan lupa ajak teman-teman yang lain
jimmeh gham lappah anajk tukuk,besok kita berangkat pagi hari
jimmeh gham lapah wayah muas,besok kita berangkat siang
jimmeh gham lapah debingei,besok kita berangkat malam
gham daknei cakak bis,kita ke sana naik bis
gham daknei lapah caluk,kita ke sana jalan kaki
gham dak nei cakak kerito,kita ke sana naik kereta
naen balik gham lappah singgah dibeng wisata sai baghih,nanti pulangnya kita mampir ke tempat wisata lain
gham kuppul dibeng baghih,kita kumpul di tempat ini
gham kuppul disekulah,kita kumpul di sekolah
dang mak ingek bo alat alat pakai mandei,jangan lupa bawa perlengkapan mandi
naen gham minek di hotel,kita nanti nginap di hotel
naen gham peddem ditenda,kita nanti tidur di tenda
dang mak ingek bo tenda sai wayah balak,jangan lupa bawa tenda yang cukup besar
bo jakit munih ulah dinnei wayah ngisen,bawa jaket juga karena disana dingin
bo kawai renang,bawa pakaian renang
gham dapek nangui di pantai,kita bisa berenang di pantai
gham dapek berendem di wai panas,kita bisa berendam di air panas
gham dapek mayen bal dilapangan,kita bisa bermain bola di lapangan
lapah gham balik tano,ayo kita pulang sekarang
kak debei lapah gham balik,sudah sore mari kita pulang
lapah gham peddem kak daleu,ayo kita tidur sudah malam
sekam kerjo dikeddo?,kamu kerja dimana ?
ikam kerjo dikattur,saya kerja di kantor
ikam kerjo dipabrik,saya kerja di pabrik
ikam makko rasan,saya pengangguran
ikam ngemik perusahaan sayan,saya punya perusahaan sendiri
ikam berjualan,saya berdagang
ikam lak kerjo ikam pagun kuliah,saya belum kerja saya masih kuliah
ikam lak kerjo ikam pagun sekulah,saya belum kerja saya masih sekolah
ikam ngemik nayah rasan minggu ijo,saya punya banyak kerjaan minggu ini
ikam siwek,saya sibuk
ikam lagei santai,saya sedang santai
perusahan ikam sedang menerimo nayah orderan,perusahaan kami sedang menerima banyak orderan
perusahan ikam sedang cutik menerimo  orderan,perusahaan kami sedang sedikit menerima orderan
iyeu ikam terimo pesenan,ya kami terima pesanan
gat ikam mak ago menerioma pesenan,tidak kami tidak menerima pesanan
ikam kak adeu kerjo di jo kak wayah munei limo tahun limo bulan,saya sudah bekerja disini selama lima tahun lima bulan
ikam appay gaweh kerjo di jo,saya baru saja kerja disini
ikam layen pegawai tetap,saya bukan pegawai tetap
ikam pegawai tetap,saya pegawai tetap
gajino mak balak,gajinya tidak besar
gajino cutik,gajinya sedikit
gajino telat,gajinya telat
ikam ago perkerjoan si gajino balak,saya mau pekerjaan yang gajinya besar
ikam mak iling berkerjo di kanturan,saya tidak suka bekerja di kantoran
ikam iling berkerjo dilapangan,saya suka bekerja dilapangan
ikam iling jamo atasan ikam ulah yo baik,saya suka dengan atasan saya dia baik
ikam mak iling jamo atasan ikam yo kejjem,saya tidak suka dengan atasan saya dia galak
jinno tukuk ikm terlambat ulah ghanglayo macit,tadi pagi saya terlambat karena jalanan macet
yosikedau perusahan,dia pemilik perusahaan
Yo ngemik nayah pegawai,dia punya banyak pegawai
yo ngemik beberapa pegawai,dia punya beberapa pabrik
anak perusahaan ne nayah,anak perusahaannya banyak
perusahaan ne nyebar di pigho pigho wilayah,perusahaannya menyebar di berbagai tempat
kattur ikam mak jaweh anajk jo,kantor saya tidak jauh dari sini
kattur ikam paghek jamo nuwo,kantor saya dekat dengan rumah
kattur ikam paghek jamo nuwo kos kosan,kantor saya dekat dengan rumah kostan
kattur ikam paghek jamo nuwo sewaan,kantor saya dekat dengan rumah sewaan
serundo kerjo ikam nayah sianjak jawa,teman kerja saya banyak yang berasal dari jawa
sebagian serundo kerjo ikam asal ne anjak lappung,beberapa teman kerja saya berasal dari lampung
lamun nayah kerjooan ikam ghisek ngelembur,jika banyak kerjaan saya sering melembur
burbei bingei ikam lembur dikattur,kemarin malam saya lembur di kantor
ikam mak nayah tugas dawah ijo,saya tidak punya banyak tugas hari ini
kerjoan ikam pagun nayah,tugas saya masih menumpuk
ikam ago dak luah kota jimmeh,saya akan keluar kota besok
ikam dikisung dak luah kota jimmeh,saya disuruh keluar kota besok
wat rapet dikattur,ada rapat di kantor
wat temui dikattur,ada tamu di kantor
wat si harus dicattik dikattur,ada yang harus saya lakukan di kantor
wat siharus ikam kerjoke di kattur,ada yang harus saya kerjakan di kantor
"bos, pegawai, pegawai biaso, pegawai sikak netep unyen ne dikattur","bos , pegawai , pegawai biasa , pegawai tetap semuanya ada di kantor"
"pegawai honorerpegawai swasta, buruh, pekayunan unyen ne wat dikattur","pegawai honorer , pegawai swasta , buruh , pesuruh semuanya ada di kantor"
"sekertaris, supir, serundo kattur, serundo unyen newat dikattur","sekretaris , sopir , teman kantor , rekan kerja semuanya ada di kantor"
dapek ikam megegh dak nuwo sekam?,boleh saya datang ke rumahmu ?
debei ijo nyokah sekam wat rasan?,sore ini apakah kamu sibuk ?
ikam naen megegh seghadeu balik anajk sekulah,saya akan datang setelah pulang sekolah
ikam daknei naen debei,saya kesana nanti sore
ikam dak nei naen bingei,saya kesana nanti malam
ikam dak nei kiro-kiro jam 7 bingei,saya kesana sekitar jam 7 malam
ikam dak nei kiro-kiro jam 12 dawah,saya kesana sekitar jam 12 siang
ikam dak nei kiro-kiro jam 1o tukkuk,saya kesana sekitar jam 10 pagi
"ikam dappek singgah, dak nuwo, sekam kapan kapan?",boleh saya mampir ke rumah kamu kapan-kapan ?
jam pigho ikam harus daknei?,jam berapa saya harus kesana ?
dapek ikam ngajak serundo ikam?,boleh saya ajak teman saya ?
ikam dapek ngajak isei nuwo ikam?,boleh saya ajak istri saya ?
ikam dapek megegh jamo meghian ikam?,boleh saya datang dengan suami saya ?
dapek ikam megeghjamo kaban sanak ikam?,boleh saya datang dengan anak-anak ?
mahhaf ikam telat,maaf saya terlambat
mahhaf ikam telat ghanglayo ne macit,maaf saya terlambat jalannya macet
mahap tunggeu seberai,maaf tunggu sebentar
tunggeu seberai ikam pagun di lenglayo,tunggu sebentar saya masih di jalan
mahap kak guwai nunggeu,maaf sudah menunggu
kak munei?,sudah lama ?
mahap ikam kepedeman,maaf saya ketiduran
mahap ikam wat urusan pay,maaf saya ada urusan dulu
ikam mak kebagian beng mejjeng dikursei bes,saya tidak kebagian tempat duduk di bis
ikam kejebak macit,saya kejebak macet
keritone biasone terlambat,keretanya bisnya terlambat
mubil ikam mogok,mobil saya mogok
makko beng parkir si bakkang,tidak ada tempat parkir yang kosong
ikam tebumbang di lenglayo,saya tersesat di jalan
ikam muter muter pai nigheu lukaseine,saya muter-muter dulu mencari lokasinya
silahkan mejjeng,silahkan duduk
silahkan kughuk,silahkan masuk
peh kughuk,ayo masuk
peh kughuk,ayo masuk
"silahkan kughuk, tunggeu seberai umei lagei didapur","silahkan masuk , tunggu sebentar ibu lagi di dapur"
"silahkan kughuk,tunggeu seberai bapak lagei dighanglayo","silahkan masuk , tunggu sebentar bapak masih di jalan"
wat keperluan nyo megegh dakjo?,ada keperluan apa datang ke sini ?
ulah nyo ya?,ada apa ya ?
mak melai sinngah dijjo?,tumben mampir ke sini ?
andel dapek tumbuk kupek,senang bisa bertemu kembali
kak munei gham mak ngubrul gehhijo,sudah lama kita tidak ngobrol seperti ini
kak sakko mak tumbuk,sudah lama tidak bertemu
layen wakteu lamun dak lappung mider dakjo,lain kali kalau ke lampung mampir lagi kesini
lamun wat sesuateu tippik cawo gaweh dang sukkan,kalau ada sesuatu tinggal bilang saja jangan sungkan-sungkan
lamun butuh tulungan megegh jugo dak nuwo,kalau butuh bantuan datang saja ke rumah
peh mejeng di jo?,ayo duduk disini ?
mejjeng ne salahjo gaweh,duduknya sebelah sini saja
gham ngelakar diruang temui gaweh,kita ngobrol di ruang tamu saja
gham ngelakar ditiras gaweh,kita ngobrol di teras saja
dak salah jo,ke sebelah sini
disalahnei,di sebelah sana
dikeddo kamar mandei ne?,dimana kamar mandinya ?
nuwo ne nyaman ya?,rumahnya nyaman ya ?
nuwo no balak yeu?,rumahnya besar ya ?
kak debei ikam harus balik,sudah sore saya harus pulang
"kak debingei, ikam harus balik",sudah malam saya harus pulang
kak debei ikam harus balik dak kattur,sudah sore saya harus kembali ke kantor
lain wakteu dakjo kupek,kapan-kapan ke sini lagi
dang luppu dakjo kupek,jangan lupa ke sini lagi
Ghisek-ghisek singgah dakjo,sering-sering mampir ke sini
mider daljo kupek yeu,main ke sini lagi ya ?
kapan kapan dakjo kupek,lain kali kesini lagi
neen ikam dakjo lagei,nanti saya kembali lagi
lamun wat wakteu ikam mider dak jo lagei,kalau ada waktu saya mampir ke sini lagi
ya pastei ikam dakjo kupek,ya pasti saya akan ke sini lagi
ya naen ikam ngebbo kaban sanak ikam dakjo,ya nanti saya bawa anak-anak saya ke sini
dikedo lukasei sekulah disekitar jo ?,dimanakah lokasi sekolah sekitar sini ?
ikam ago daftar sekulah,saya mau daftar sekolah
pigho bayaran sekulahno perbulan?,berapa bayaran sekolahnya perbulan ?
anak ikam appay ago kughuk sekulah,anak saya baru mau masuk sekolah
ikam mak kughuk sekulah berubei,saya tidak masuk sekolah kemarin
ikam tandak anajak sekulah,saya bolos sekolah
sekulahno kelas pigho?,sekolahnya kelas berapa ?
sekam kak adew sekulah selamo pigho tahun?,anda sudah sekolah selama berapa tahun ?
nikeu dang iling lago di sekulah,kamu jangan suka berkelahi di sekolah
turutei nasihat gureu,turuti nasehat guru
unggal panas dang telat,setiap hari jangan terlambat
kapan mettei libur,kapan kalian libur ?
jimeh sekulah perei,besok sekolah diliburkan
dang mak ingek ngissei daptar megegh,jangan lupa mengisi daftar hadir
dang lupo belajagh,jangan lupa belajar
dang lupo ngerjoken pekerjoan di nuwo,jangan lupa mengerjakan pekerjaan rumah
"papan tulis, serundo sekulah, murid, gureu seunnyene wat disekulah","papan tulis , teman sekolah , murid , guru semuanya ada di sekolah"
"lapangan sekulah, kapur, pinsil, mija, kursei seunnyenno wat disekulah","lapangan sekolah , kapur , pensil , meja , kursi semuanya ada di sekolah"
"jadwal pelajghan,ujian sekulah, seragam sekulah seunnyenno wat disekulah","jadwal pelajaran , ujian sekolah ,  seragam sekolah semuanya ada di sekolah"
"nilai sai wawai, nilai yang buruk, kelas, jadwal sekolah seunyenno wat disekulah","nilai bagus , nilai jelek , kelas , jadwal sekolah semuanya ada di sekolah"
ikam perleu latihan,saya butuh latihan
ikam perleu nayah latihan,saya perlu banyak latihan
ikam perleu belajar ago ujian,saya perlu belajar untuk ujian
ikam harus belajar,saya harus belajar
ikam wat ujian jimmeh,saya ada ujian besok
ikam ago wat ujian tigo panas,saya mau ada ujian tiga hari
ikam ago wat ujian bulan depan,saya mau ada ujian bulan depan
ujian ne jimmeh,ujiannya besok
ujian ne bulan depan,ujiannya bulan depan
kapan ujianno?,kapan ujiannya ?
kapan ujian akhir no?,kapan ujian akhirnya ?
nyo gaweh siago diujianke?,apa saja yang akan diujikan ?
nyokah naen ago wat perbaikan nilai?,apakah nanti ada perbaikan nilai ?
nyokah unnyen bab di soal ke?,apakah semua bab diujikan ?
pigho halaman si ago gham baco pakai tes no?,berapa halaman yang harus kita baca untuk testnya ?
nyo kah naen wat ulangan?,apa nanti ada ulangan ?
kapan akhir peghaduan tugas ino?,kapan batas akhir penyerahan tugasnya ?
"kapan terakhir gham dapek, ngejuk tugas ino?",kapan terakhir kita boleh menyerahkan tugasnya ?
nyo kah perleu ditndatanganei ulah gureu?,apa perlu ditandatangani oleh guru ?
ikam ago ngelulih tentang kemajuan anak ikam?,saya mau bertanya tentang perkembangan anak saya ?
nyo kah nilai ne wat masalah?,apakah nilainya bermasalah ?
nyo kah nilai ne wawai?,apakah nilainya bagus ?
nilaino wawai,nilainya bagus
nilaino jaghel,nilainya jelek
nilai no cukup,nilainya cukup
